tag,tier,category,relevance_score
#아이스크림과와인,broad,main,1.0
#icecreamandwine,broad,main,0.9
#디저트페어링,broad,concept,0.9
#winepairing,broad,concept,0.9
#달콤한조합,broad,concept,0.8
#sweetcombination,mid,concept,0.8
#아이스크림,mid,dessert,0.9
#icecream,mid,dessert,0.8
#와인,mid,beverage,0.9
#wine,mid,beverage,0.8
#젤라또,mid,dessert,0.7
#gelato,mid,dessert,0.7
#데저트와인,mid,beverage,0.8
#dessertwine,mid,beverage,0.7
#스파클링와인,mid,beverage,0.8
#sparkling,mid,beverage,0.7
#로제와인,mid,beverage,0.7
#rosewine,mid,beverage,0.7
#모스카토,niche,beverage,0.7
#moscato,niche,beverage,0.6
#아이스와인,niche,beverage,0.8
#icewine,niche,beverage,0.7
#수제아이스크림,niche,dessert,0.8
#handmadeicecream,niche,dessert,0.7
#프리미엄아이스크림,niche,dessert,0.7
#premiumicecream,niche,dessert,0.6
#이탈리아젤라또,niche,dessert,0.7
#italiangelato,niche,dessert,0.6
#프랑스와인,niche,beverage,0.7
#frenchwine,niche,beverage,0.6
#이탈리아와인,niche,beverage,0.7
#italianwine,niche,beverage,0.6
#내추럴와인,niche,beverage,0.7
#naturalwine,niche,beverage,0.6
#바닐라아이스크림,local,dessert,0.6
#vanillaicecream,local,dessert,0.6
#초콜릿아이스크림,local,dessert,0.6
#chocolateicecream,local,dessert,0.6
#딸기아이스크림,local,dessert,0.6
#strawberryicecream,local,dessert,0.5
#연남동와인바,local,location,0.8
#연남동디저트,local,location,0.8
#성수동카페,local,location,0.8
#홍대와인바,local,location,0.7
#강남디저트,local,location,0.7
#로맨틱데이트,local,occasion,0.8
#romanticdate,local,occasion,0.7
#특별한날,local,occasion,0.7
#specialday,local,occasion,0.6
#기념일,local,occasion,0.7
#anniversary,local,occasion,0.6
#데이트코스,local,social,0.8
#datecourse,local,social,0.7
#커플데이트,local,social,0.8
#coupledate,local,social,0.7
#인스타핫플,local,social,0.8
#instahotspot,local,social,0.7
#감성사진,local,social,0.7
#aestheticphoto,local,social,0.6
#SNS인증샷,local,social,0.7
#instagrammable,local,social,0.6
#여름디저트,broad,seasonal,0.8
#summerdessert,broad,seasonal,0.7
#시원한디저트,broad,seasonal,0.8
#cooldessert,broad,seasonal,0.7
#겨울와인,mid,seasonal,0.6
#winterwine,mid,seasonal,0.5
#가을디저트,mid,seasonal,0.6
#falldessert,mid,seasonal,0.5
#달콤쌉싸름,niche,taste,0.7
#sweetandbitter,niche,taste,0.6
#부드러운식감,niche,taste,0.6
#smoothtexture,niche,taste,0.5
#크리미한맛,niche,taste,0.7
#creamytaste,niche,taste,0.6
#상큼한맛,niche,taste,0.6
#freshtaste,niche,taste,0.5
#고급스러운맛,niche,taste,0.7
#luxurioustaste,niche,taste,0.6
#독특한조합,niche,concept,0.7
#uniquecombination,niche,concept,0.6
#색다른경험,niche,concept,0.7
#differentexperience,niche,concept,0.6
#새로운트렌드,niche,concept,0.8
#newtrend,niche,concept,0.7
#와인바,local,location,0.8
#winebar,local,location,0.7
#디저트카페,local,location,0.8
#dessertcafe,local,location,0.7
#젤라또샵,local,location,0.7
#gelatoshop,local,location,0.6
#아이스크림가게,local,location,0.7
#icecreamshop,local,location,0.6
#파인다이닝,niche,location,0.7
#finedining,niche,location,0.6
#비스트로,niche,location,0.6
#bistro,niche,location,0.5
#가성비,local,value,0.7
#costeffective,local,value,0.6
#프리미엄,local,value,0.8
#premium,local,value,0.7
#고급,local,value,0.7
#luxury,local,value,0.6
#한정판,local,value,0.7
#limitededition,local,value,0.6
#시즌한정,local,value,0.7
#seasonallimited,local,value,0.6
#신메뉴,local,value,0.7
#newmenu,local,value,0.6
#시그니처,local,value,0.7
#signature,local,value,0.6
#추천메뉴,local,value,0.7
#recommended,local,value,0.6
